appid,name,price,currency,genres,release_date,steam_review_score
208480,Assassin’s Creed® III,,,Adventure,"20 Nov, 2012",80
209630,Magrunner: Dark Pulse,19.99,USD,"Action, Adventure, Indie","Jun 20, 2013",70
211740,Thief™ II: The Metal Age,0.97,USD,"Action, Simulation","May 22, 2012",87
212680,FTL: Faster Than Light,10.99,CAD,"Indie, Simulation, Strategy","14 Sep, 2012",84
214490,Alien: Isolation,43.99,CAD,Action,"6 Oct, 2014",81
214510,LEGO® The Lord of the Rings™,19.99,USD,"Action, Adventure","Nov 27, 2012",80
216130,Gemini Wars,20.69,BRL,"Indie, Strategy","2 Nov, 2012",53
216210,Secret Files 3,50.0,BRL,Adventure,"13 Sep, 2012",67
216290,Gateways,8.49,BRL,Indie,"13 Sep, 2012",72
216310,Gateways Demo,,,,"11 Oct, 2012",72
216690,XCOM: Enemy Unknown Demo,,,Strategy,"24 Sep, 2012",89
216910,Of Orcs And Men,39.99,BRL,"Action, RPG","11 Oct, 2012",69
217100,Dementium II HD,20.49,BRL,"Action, Adventure, Indie","17 Dec, 2013",37
217140,Rise of the Triad,27.99,BRL,Action,"31 Jul, 2013",67
217160,Transcripted Demo,,,"Action, Casual","9 Aug, 2012",78
217290,Din's Curse,32.99,BRL,"Action, Indie, RPG","22 Aug, 2012",76
217470,Intrusion 2 Demo,,,Indie,"11 Sep, 2012",80
217690,Anna - Extended Edition,39.0,BRL,"Adventure, Indie","12 Apr, 2013",75
217750,Age of Conan: Unchained,,,"Action, Adventure, Free To Play, Massively Multiplayer, RPG","22 Feb, 2013",80
217920,Alien Rage - Unlimited,59.99,BRL,Action,"24 Sep, 2013",52
218090,Unity of Command: Stalingrad Campaign,32.99,BRL,"Indie, Strategy","17 Oct, 2012",84
218110,Din's Curse Demo,,,"Action, Indie, RPG","2 Nov, 2012",76
218230,PlanetSide 2,,,"Action, Massively Multiplayer, Free To Play","20 Nov, 2012",84
218350,Unmechanical Demo,,,"Adventure, Indie, Casual",,74
218550,Borderlands 2: Tiny Tina's Assault on Dragon Keep,14.99,BRL,"Action, RPG","25 Jun, 2013",87
218620,PAYDAY 2,9.89,BRL,"Action, RPG","13 Aug, 2013",79
218640,Lucius,19.99,BRL,"Action, Adventure, Indie","26 Oct, 2012",59
218680,Scribblenauts Unlimited,89.99,BRL,"Adventure, Casual, Strategy","19 Nov, 2012",75
218820,Mercenary Kings: Reloaded Edition,36.99,BRL,"Action, Adventure, Indie, RPG","25 Mar, 2014",76
219030,Ys Origin Demo,,,"Action, Adventure, RPG","6 Sep, 2012",76
219150,Hotline Miami,9.99,USD,"Action, Indie","Oct 23, 2012",85
219640,Chivalry: Medieval Warfare,45.99,BRL,"Action, Indie","16 Oct, 2012",79
219660,Secret Files 3 Demo,,,,"18 Sep, 2012",67
219680,Proteus,32.99,BRL,"Adventure, Casual, Indie","30 Jan, 2013",80
219740,Don't Starve,5.17,BRL,"Adventure, Indie, Simulation","23 Apr, 2013",79
219760,Beyond Divinity,11.99,BRL,RPG,"29 Oct, 2012",73
219910,Edna & Harvey: Harvey's New Eyes,19.99,USD,"Adventure, Indie","Oct 16, 2012",75
222480,Resident Evil Revelations,22.25,BRL,"Ação, Aventura",20/mai./2013,77
230410,Warframe,,,"Action, RPG, Free To Play","25 Mar, 2013",69
230860,Cannon Brawl,14.99,USD,"Action, Adventure, Indie, Strategy","Sep 19, 2014",72
231120,Euro Truck Simulator 2 Demo,,,Simulation,"8 Feb, 2013",79
231160,The Swapper,24.99,BRL,"Action, Adventure, Indie","30 May, 2013",87
231200,Kentucky Route Zero: PC Edition,45.99,BRL,"Adventure, Indie","22 Feb, 2013",81
231250,Resident Evil: Revelations Demo,,,"Action, Adventure",,77
231310,MirrorMoon EP,46.99,BRL,"Adventure, Indie","4 Sep, 2013",73
231330,Deadfall Adventures,36.99,BRL,"Action, Adventure","15 Nov, 2013",53
231430,Company of Heroes 2,57.99,BRL,Strategy,"25 Jun, 2013",80
232050,Eador. Masters of the Broken World,34.99,BRL,"Indie, RPG, Strategy","19 Apr, 2013",74
232090,Killing Floor 2,55.99,BRL,Action,"18 Nov, 2016",75
232430,Gone Home,46.99,BRL,"Adventure, Indie","15 Aug, 2013",86
232750,Mars: War Logs,17.9,BRL,"Action, RPG","26 Apr, 2013",59
232770,POSTAL,,,"Action, Indie","14 Nov, 1997",56
232790,Broken Age,28.99,BRL,"Adventure, Casual, Indie","28 Jan, 2014",73
232910,TrackMania² Stadium,29.99,BRL,"Racing, Sports","20 Jun, 2013",77
232930,Impire Demo,,,,"13 Mar, 2013",45
232970,Thunder Wolves,9.89,BRL,"Action, Casual, Indie","15 May, 2013",69
233030,March of the Eagles Demo,,,Strategy,"20 Feb, 2013",71
233050,ShootMania Elite Demo,,,Action,"9 Oct, 2013",76
233070,TrackMania² Stadium Demo,,,"Racing, Sports","7 Nov, 2013",77
233110,Defense Technica,24.99,BRL,"Indie, Strategy","24 Oct, 2013",63
233130,Shadow Warrior,8.89,BRL,"Action, Adventure","26 Sep, 2013",73
233150,LUFTRAUSERS,32.99,BRL,"Action, Indie, Simulation","18 Mar, 2014",80
233190,Final Exam,17.9,BRL,"Action, Indie","5 Nov, 2013",66
233210,Air Conflicts: Vietnam,28.99,BRL,"Action, Simulation","2 Oct, 2013",43
233230,Kairo,16.99,BRL,"Adventure, Indie","24 Apr, 2013",76
233270,Far Cry 3 - Blood Dragon,44.99,BRL,"Action, Adventure","1 May, 2013",81
233290,Murdered: Soul Suspect,55.99,BRL,"Action, Adventure, RPG","5 Jun, 2014",59
233310,Avadon 2: The Corruption,13.19,BRL,"Indie, RPG, Strategy","30 Oct, 2013",82
233370,The Raven - Legacy of a Master Thief,,,Adventure,,74
233450,Prison Architect,107.99,BRL,"Indie, Simulation, Strategy","6 Oct, 2015",83
233470,Evoland,4.99,BRL,"Adventure, Indie, RPG","4 Apr, 2013",61
233490,Sacred Citadel Demo,,,Action,"20 Apr, 2013",61
233610,Distance,47.49,BRL,"Action, Indie, Racing","18 Sep, 2018",74
233700,Sword of the Stars: The Pit,32.99,BRL,"Casual, Indie, RPG, Strategy","21 Feb, 2013",69
233710,Sword of the Stars: The Pit Demo,,,"Casual, Indie, RPG, Strategy","10 Mar, 2013",69
233720,Surgeon Simulator,6.59,BRL,"Action, Indie, Simulation","19 Apr, 2013",71
233840,Worms Clan Wars,133.9,BRL,Strategy,"15 Aug, 2013",73
233860,Kenshi,57.99,BRL,"Action, Indie, RPG, Simulation, Strategy","6 Dec, 2018",75
233980,UnEpic,25.99,BRL,"Action, Indie, RPG","25 Jul, 2014",68
234000,Superfrog HD,,,Action,"12 Sep, 2013",56
234140,Mad Max,89.99,BRL,"Action, Adventure","1 Sep, 2015",73
234160,Strike Suit Infinity,14.99,BRL,"Action, Indie","30 Apr, 2013",66
234270,Ken Follett's The Pillars of the Earth,59.99,BRL,"Adventure, Casual, Indie","15 Aug, 2017",78
234370,Shattered Haven,8.24,BRL,"Action, Adventure, Indie","18 Mar, 2013",60
234390,Teleglitch: Die More Edition,46.99,BRL,"Action, Indie","24 Jul, 2013",78
234510,Rising Storm Game of the Year Edition,34.99,BRL,Action,"30 May, 2013",82
234650,Shadowrun Returns,53.99,BRL,"Adventure, Indie, RPG, Strategy","25 Jul, 2013",76
234670,NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst HD,39.95,BRL,"Action, Adventure","24 Oct, 2013",80
234710,Poker Night 2,,,"Casual, Sports","26 Apr, 2013",75
234920,Dyscourse,46.99,BRL,"Adventure, Casual, Indie, Simulation","25 Mar, 2015",71
235070,Bad Bots,10.89,BRL,"Action, Indie","17 May, 2013",49
235210,STRIDER™ / ストライダー飛竜®,20.1,BRL,"Action, Adventure","19 Feb, 2014",78
236390,War Thunder,,,"Action, Massively Multiplayer, Simulation, Free To Play","15 Aug, 2013",81
237630,DuckTales: Remastered,4.99,CAD,"Action, Adventure, Casual","13 Aug, 2013",66
239030,"Papers, Please",12.99,CAD,"Adventure, Indie","8 Aug, 2013",85
239070,Hammerwatch,66.0,HKD,"Action, Adventure, Indie, RPG","12 Aug, 2013",72
239090,Samurai GUNN,33.0,HKD,"Action, Indie","10 Dec, 2013",78
239120,Final Fantasy III (3D Remake),54.0,HKD,RPG,"27 May, 2014",68
239200,Amnesia: A Machine for Pigs,19.5,EUR,"Action, Adventure, Indie","10 Sep, 2013",72
239350,Spelunky,99.0,HKD,Indie,"8 Aug, 2013",90
241369,Expansion - Europa Universalis IV: Conquest of Paradise,12.79,GBP,"Simulation, Strategy","14 Jan, 2014",81
241910,Goodbye Deponia,19.99,USD,"Adventure, Indie","Oct 17, 2013",80
242550,Rayman® Legends,205000.0,IDR,"Action, Adventure","29 Aug, 2013",89
242640,Styx: Master of Shadows,19.99,USD,Action,"Oct 7, 2014",71
242760,The Forest,16.79,EUR,"Action, Adventure, Indie, Simulation","30 Apr, 2018",83
243470,Watch_Dogs™,229000.0,IDR,"Action, Adventure","26 May, 2014",77
243780,PixelJunk™ Monsters Ultimate,9.99,USD,Strategy,"Aug 26, 2013",72
244050,Rise of Flight United,,,"Simulation, Free To Play","5 Sep, 2013",77
244160,Homeworld Remastered Collection,3.49,USD,"Simulation, Strategy","Feb 25, 2015",86
244810,Foul Play,99.0,HKD,"Action, Adventure, Casual, Indie","18 Sep, 2013",69
244910,Homesick,99.0,HKD,"Adventure, Indie","28 May, 2015",72
244950,Where is my Heart?,59.0,HKD,"Adventure, Casual, Indie","29 May, 2014",74
245170,Skullgirls 2nd Encore,109.0,HKD,"Action, Indie","22 Aug, 2013",83
245280,ENSLAVED™: Odyssey to the West™ Premium Edition,153.0,HKD,"Action, Adventure","24 Oct, 2013",70
245370,Etherium,69.0,HKD,Strategy,"25 Mar, 2015",62
245490,Trials Fusion™,205000.0,IDR,Racing,"24 Apr, 2014",80
245620,Tropico 5,19.99,USD,"RPG, Simulation, Strategy","May 23, 2014",75
246070,Hack 'n' Slash,13.37,USD,"Adventure, Casual, Indie","Sep 9, 2014",73
246090,Spacebase DF-9,9.99,USD,"Indie, Simulation, Strategy","Oct 27, 2014",49
246110,MASSIVE CHALICE,19.99,USD,"Indie, Strategy","Jun 1, 2015",73
246660,Assault Android Cactus Demo,,,"Action, Indie","Aug 28, 2013",79
246720,Wayward Manor,6.99,USD,"Adventure, Casual, Indie","Jul 15, 2014",41
246960,Giana Sisters: Twisted Dreams - Rise of the Owlverlord,4.99,USD,"Action, Indie","Sep 26, 2013",84
249130,LEGO® Marvel™ Super Heroes,36.99,BRL,"Action, Adventure","22 Oct, 2013",78
249150,Beatbuddy: Tale of the Guardians Demo,,,"Action, Adventure, Casual, Indie","19 Aug, 2013",75
249230,Risen 3 - Titan Lords,6.99,BRL,RPG,"13 Aug, 2014",65
249570,The Castle Doctrine,8.69,BRL,"Indie, Massively Multiplayer, Strategy","29 Jan, 2014",58
249590,Teslagrad,39.99,BRL,Indie,"13 Dec, 2013",77
249650,Blackguards,19.99,BRL,"Action, Adventure, Indie, RPG, Strategy","22 Jan, 2014",68
249870,Scribblenauts Unmasked: A DC Comics Adventure,89.99,BRL,"Action, Adventure, Casual, Strategy","24 Sep, 2013",68
250030,Lilly Looking Through,16.99,BRL,"Adventure, Indie","1 Nov, 2013",71
250110,Assault Android Cactus+,37.99,BRL,"Action, Indie","23 Sep, 2015",79
250260,Jazzpunk: Director's Cut,27.99,BRL,"Adventure, Indie","7 Feb, 2014",75
250320,The Wolf Among Us,14.99,EUR,"Action, Adventure, Casual","11 Oct, 2013",85
250380,Knock-knock,19.99,BRL,"Adventure, Casual","4 Oct, 2013",57
250400,How to Survive,6.99,BRL,"Action, Adventure, RPG","29 Aug, 2014",60
250520,UnderRail,46.99,BRL,"Indie, RPG","18 Dec, 2015",72
250560,Fight The Dragon,19.99,BRL,"Indie, RPG","4 Dec, 2014",76
250620,Among the Sleep - Enhanced Edition,32.99,BRL,"Action, Adventure, Indie","29 May, 2014",66
250640,[Old Edition] Croixleur Sigma,,,"Action, Casual, Indie","30 Apr, 2014",56
250680,BELOW,47.49,BRL,"Action, Adventure, Indie, RPG","14 Dec, 2018",67
250700,Super Time Force Ultra,27.99,BRL,"Action, Indie","25 Aug, 2014",80
250760,Shovel Knight: Treasure Trove,75.49,BRL,"Action, Adventure, Indie","26 Jun, 2014",85
250790,BeatBlasters III Demo,,,Indie,"28 Aug, 2013",56
